idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,13,0,56,0
1708060001000100,30,14,42,0,48,0
1708060001000200,67,38,25,0,0,0
1708010001000200,2,1,41,0,68,5
1708060001000300,114,0,0,0,0,0
1708010004000500,13,0,60,0,23,9
1708010002000100,80,0,1,0,14,0
1708010004000600,89,1,0,0,2,0
1708060002000200,12,63,13,0,3,0
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,1,0,0,0
1708060002000100,2,10,3,0,68,1
1708010007000300,70,2,1,0,5,2
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,1,0,3,0
1708060016000100,66,1,0,0,0,0
1708060016000200,63,0,0,0,0,0
1708010001000100,36,0,10,0,16,0
1708010008000100,0,4,7,0,23,26
1708010005000700,13,27,16,0,3,0
1708010007000100,29,6,5,0,18,0
1708060016000400,52,0,0,0,0,0
1708010004000400,38,0,4,0,6,1
1708010005000800,2,0,19,0,28,0
1708060016000300,49,0,0,0,0,0
1708010006000300,48,0,0,0,0,0
1708010006000400,10,4,9,0,25,0
1708010005001000,1,2,4,0,33,0
1708010006000100,0,0,23,0,15,0
1708010006000600,38,0,0,0,0,0
1708010004000300,7,0,0,0,24,4
1708010006000700,26,5,3,0,1,0
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,12,0,19,0
1708010008000500,0,3,1,0,18,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,1,0,3,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,1,0,0,0,0
1708010008000200,2,0,1,0,7,0
1708010007000600,6,0,0,0,2,0
1708010005001400,5,0,1,0,1,0
1708010008000400,0,0,2,0,5,0
1708010007000400,5,0,0,0,1,0
1708010007000800,1,1,0,0,2,0
1708010006000800,3,0,0,0,0,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,2,0,0,0
1708040004000100,44,13,63,0,88,20
1708040011000200,150,1,37,0,4,0
1708040003000100,36,21,18,0,52,27
1708020004000100,31,19,14,0,75,11
1708040001000300,144,0,0,0,0,0
1708040004000300,1,0,72,0,67,1
1708040004000400,132,1,2,0,0,2
1708040014000100,3,5,9,0,61,58
1708040011000300,2,44,4,0,15,62
1708040011000100,104,15,0,0,0,0
1708040003000200,102,0,0,0,0,0
1708040014000200,57,16,22,0,0,0
1708020013000200,75,12,2,0,0,0
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,11,12,0,31,23
1708020013000100,69,3,6,0,0,0
1708020004000200,25,3,0,0,35,13
1708040003000300,69,2,0,0,0,0
1708020014000400,0,0,3,0,55,3
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708040001000200,58,0,0,0,0,0
1708020012000300,2,2,17,0,23,3
1708020013000400,46,0,0,0,0,0
1708020004000300,7,6,0,0,22,10
1708040014000300,44,0,0,0,0,0
1708020005000100,43,0,0,0,0,0
1708020004000400,12,2,0,0,25,3
1708040001000100,37,0,0,0,0,0
1708020004000500,6,0,0,0,30,0
1708020005000300,35,0,0,0,0,0
1708020005000400,8,0,0,0,0,0
1708040003200200,4,0,0,0,0,0
1708040014200200,0,0,1,0,3,0
1708040004100100,3,0,0,0,0,0
1708020004200100,0,0,0,0,1,0
1708040001100100,1,0,0,0,0,0
1708040001100200,1,0,0,0,0,0
1708040003100100,1,0,0,0,0,0
1708040004100200,1,0,0,0,0,0
1708040011100100,0,0,0,0,1,0
1708040014100100,0,0,0,0,1,0
1708030002000100,56,66,27,0,53,0
1708050001000300,58,21,86,0,24,0
1708030003000100,73,4,82,0,14,0
1708030009000100,8,41,6,0,86,2
1708030008000100,4,9,16,0,83,0
1708030001000400,29,0,0,0,54,3
1708050001000101,85,0,0,0,0,0
1708030007000200,65,1,0,0,16,0
1708030006000100,31,33,0,0,15,0
1708030006000200,53,0,0,0,16,1
1708030005000200,50,0,17,0,0,0
1708030007000300,67,0,0,0,0,0
1708030004000100,0,2,29,0,33,2
1708030007000100,61,0,0,0,3,0
1708050001000802,62,0,0,0,1,0
1708030008000300,41,7,0,0,13,0
1708030007000400,25,25,0,0,10,0
1708030012000300,5,0,53,0,2,0
1708030013000100,60,0,0,0,0,0
1708030001000300,6,0,0,0,52,0
1708030001000100,57,0,0,0,0,0
1708030011000400,57,0,0,0,0,0
1708030001000200,7,0,0,0,48,0
1708030005000100,6,0,40,1,8,0
1708030002000200,53,0,0,0,0,0
1708030008000200,7,4,37,0,5,0
1708030004000200,12,1,33,0,1,0
1708030003000200,46,0,0,0,0,0
1708030012000400,0,0,38,0,8,0
1708030011000200,45,0,0,0,0,0
1708030013000300,44,0,0,0,0,0
1708030011000100,43,0,0,0,0,0
1708030010000300,42,0,0,0,0,0
1708030001000500,4,0,0,0,33,4
1708030011000300,41,0,0,0,0,0
1708030004000300,4,1,24,0,11,0
1708030012000100,40,0,0,0,0,0
1708030012000200,17,0,22,0,1,0
1708030010000100,31,0,0,0,0,0
1708030006000300,26,1,0,0,3,0
1708030009000200,8,8,6,0,5,0
1708030013000200,18,0,0,0,0,0
1708030005000300,12,1,4,0,0,0
1708030010000400,15,0,0,0,0,0
1708030002000300,8,0,0,0,0,0
1708030003000300,8,0,0,0,0,0
1708030010000200,8,0,0,0,0,0
1708030009000300,3,0,0,0,2,0
1708030002200100,0,0,0,0,1,0
1708030007200100,1,0,0,0,0,0
1708050021000200,10,5,26,0,298,11
1708050005000500,109,16,7,0,71,1
1708050021000100,150,4,13,0,6,4
1708050021000900,55,23,68,0,19,7
1708050010000500,94,3,32,0,18,6
1708040009000100,137,1,0,0,0,0
1708040012000100,1,16,0,0,108,3
1708040008000200,36,0,6,0,23,55
1708040008000300,73,0,21,0,17,7
1708050010000700,112,1,0,0,0,0
1708050005001300,13,13,0,0,86,0
1708050005000100,111,0,0,0,0,0
1708050021001502,38,1,50,0,6,4
1708040008000100,7,2,13,0,70,3
1708040009000200,51,1,0,0,42,0
1708040005000100,87,0,0,0,0,0
1708040009000300,32,17,0,0,9,23
1708040012000300,73,0,0,0,4,0
1708040006000500,74,0,0,0,0,0
1708040013000200,58,0,0,0,0,0
1708040012000200,31,14,3,0,8,0
1708040007000300,53,0,0,0,0,0
1708040013000300,50,0,0,0,0,0
1708040013100200,2,0,0,0,0,0
1708040008200100,1,0,0,0,0,0
1708040009200100,1,0,0,0,0,0
1708040012200100,0,0,0,0,1,0
1708040013100100,1,0,0,0,0,0
1708050001000400,99,21,2,0,181,35
1708050001000500,65,17,118,1,51,11
1708050001000700,115,2,67,1,21,0
1708050001000901,97,11,54,0,32,0
1708050001000600,137,5,9,0,15,1
1708050009000101,69,0,0,0,98,0
1708050002000400,31,3,42,0,48,11
1708050001000801,73,15,12,0,14,0
1708050019000100,110,0,0,0,0,0
1708050001000200,108,1,0,0,0,0
1708050005001000,69,3,25,0,2,1
1708050019000200,81,16,0,0,0,0
1708050001000102,96,0,0,0,0,0
1708050001000902,72,3,4,0,13,1
1708050002000300,21,7,56,0,0,2
1708050019000600,39,14,30,0,0,0
1708050019001000,7,6,52,0,0,4
1708050002000100,0,0,0,0,26,39
1708050002000200,1,3,0,0,12,42
1708050019000800,7,4,38,0,0,2
1708050021000700,29,1,16,0,2,0
1708050005000300,321,11,104,0,124,0
1708050022000400,135,18,48,0,141,1
1708050003000101,9,16,1,0,218,4
1708050005000601,120,9,41,0,3,0
1708050005001100,65,32,41,0,2,1
1708050018000300,55,9,18,0,58,0
1708050003000300,126,2,1,0,8,0
1708050005000400,57,25,19,0,28,1
1708050003000200,125,0,0,0,0,0
1708050018000100,125,0,0,0,0,0
1708050022000100,123,1,0,0,0,0
1708050011000400,119,0,0,0,0,0
1708050005000200,107,0,0,0,0,0
1708050023000300,1,0,7,0,98,0
1708050005000800,28,12,1,0,41,14
1708050003000102,66,1,5,0,17,0
1708050018000200,49,6,24,0,0,0
1708050006000100,0,1,7,0,65,0
1708050006000200,2,5,11,0,50,0
1708050019000900,62,0,0,0,0,0
1708050011000100,303,2,0,0,187,0
1708050010000100,163,6,1,0,272,3
1708050009000200,176,4,0,0,67,0
1708050009001200,6,27,0,0,188,0
1708050011000301,136,0,1,0,36,7
1708050021001600,46,9,0,0,96,16
1708050015000100,0,21,0,0,120,10
1708050023000100,67,13,0,0,53,0
1708050005001200,6,1,0,0,113,3
1708050011000302,66,7,0,0,22,8
1708050023000200,100,0,0,0,0,0
1708050009000600,0,1,0,0,94,0
1708050016000400,8,2,1,0,79,0
1708050009000400,59,26,0,0,3,0
1708050015000401,78,0,0,0,0,0
1708050011001100,76,0,0,0,0,0
1708050010000300,0,0,0,0,60,9
1708050011001000,67,0,0,0,0,0
1708050011000500,55,0,0,0,0,0
1708050020000600,0,0,0,0,47,0
1708050009000103,0,26,0,0,274,0
1708050022000300,88,2,1,0,97,0
1708050011000900,4,4,0,0,162,2
1708050008000100,67,8,3,0,86,0
1708050009000800,12,59,0,0,81,7
1708050017000200,1,18,16,0,112,11
1708050021000800,39,3,1,0,108,0
1708050010000800,55,69,0,0,17,1
1708050021001100,132,0,0,0,0,0
1708050021001800,28,14,14,0,49,27
1708050016000300,112,12,0,0,0,0
